cell_type,flow,flow_drop,reachable_pairs,pairs_lost,intact_flow,intact_reachable_pairs
IN23B036,10639,8,237405,0,10647,237405
IN23B085,10639,8,237405,0,10647,237405
IN26X002,10639,8,237405,0,10647,237405
INXXX119,10639,8,237405,0,10647,237405
INXXX331,10639,8,237405,0,10647,237405
M_lvPNm35,10639,8,237405,0,10647,237405
PRW046,10639,8,237405,0,10647,237405
PRW048,10639,8,237405,0,10647,237405
PRW053,10639,8,237405,0,10647,237405
SAD093,10639,8,237405,0,10647,237405
SAD103,10639,8,237405,0,10647,237405
SAD110,10639,8,237405,0,10647,237405
SAD112_b,10639,8,237405,0,10647,237405
Z_lvPNm1,10639,8,237405,0,10647,237405
l2LN19,10639,8,237405,0,10647,237405
lLN2X04,10639,8,237405,0,10647,237405
mAL4E,10639,8,237405,0,10647,237405
mAL4I,10639,8,237405,0,10647,237405
v2LN30,10639,8,237405,0,10647,237405
v2LN34D,10639,8,237405,0,10647,237405
ANXXX264,10640,7,236740,665,10647,237405
LgAG4,10640,7,236740,665,10647,237405
LgLG7,10640,7,236740,665,10647,237405
ORN_DA4m,10640,7,236740,665,10647,237405
ORN_DL3,10640,7,236740,665,10647,237405
ORN_DM3,10640,7,236740,665,10647,237405
PhG12,10640,7,236740,665,10647,237405
SNpp20,10640,7,236740,665,10647,237405
SNpp38,10640,7,236740,665,10647,237405
SNpp42,10640,7,236740,665,10647,237405
SNta12,10640,7,236740,665,10647,237405
"SNta22,SNta33",10640,7,236740,665,10647,237405
SNta41,10640,7,236740,665,10647,237405
DNg07,10640,7,237048,357,10647,237405
DNg09_a,10640,7,237048,357,10647,237405
DNg106,10640,7,237048,357,10647,237405
DNg59,10640,7,237048,357,10647,237405
DNg81,10640,7,237048,357,10647,237405
DNg83,10640,7,237048,357,10647,237405
DNge056,10640,7,237048,357,10647,237405
DNge093,10640,7,237048,357,10647,237405
DNge145,10640,7,237048,357,10647,237405
DNpe007,10640,7,237048,357,10647,237405
DNxl114,10640,7,237048,357,10647,237405
MNml29,10640,7,237048,357,10647,237405
b3 MN,10640,7,237048,357,10647,237405
iii1 MN,10640,7,237048,357,10647,237405
AMMC006,10640,7,237405,0,10647,237405
AMMC021,10640,7,237405,0,10647,237405
AMMC031,10640,7,237405,0,10647,237405
