strategy,trial,batch,fraction_removed,flow,reachable_pairs,avalanche
in_strength,0,41,0.33929,1872,80386,6
in_strength,0,42,0.345928,1819,79130,0
in_strength,0,43,0.352481,1755,77693,4
in_strength,0,44,0.359033,1711,77444,4
in_strength,0,45,0.365501,1632,75267,5
in_strength,0,46,0.371883,1562,73165,3
in_strength,0,47,0.378181,1518,71767,10
in_strength,0,48,0.384478,1458,70535,5
in_strength,0,49,0.39069,1394,68771,27
in_strength,0,50,0.396817,1342,67543,5
in_strength,0,51,0.402859,1291,66622,2
in_strength,0,52,0.408901,1243,64875,1
in_strength,0,53,0.414858,1176,62427,13
in_strength,0,54,0.42073,1090,59979,3
in_strength,0,55,0.426602,1046,58179,11
in_strength,0,56,0.432389,1009,57270,2
in_strength,0,57,0.43809,987,56967,15
in_strength,0,58,0.443792,972,55989,5
in_strength,0,59,0.449409,948,55203,2
in_strength,0,60,0.45494,927,54835,3
in_strength,0,61,0.460471,907,54354,9
in_strength,0,62,0.465918,883,52743,3
in_strength,0,63,0.471279,842,51621,3
in_strength,0,64,0.47664,805,50865,1
in_strength,0,65,0.481916,788,50865,19
in_strength,0,66,0.487107,753,50113,7
in_strength,0,67,0.492299,709,48565,2
in_strength,0,68,0.497404,694,47209,10
in_strength,0,69,0.50251,673,45757,4
random,0,0,0,10647,237405,
random,0,1,0.0100417,10457,231105,0
random,0,2,0.0199983,10227,225567,0
random,0,3,0.0298698,10039,221200,0
random,0,4,0.0395711,9748,216596,0
random,0,5,0.0491873,9502,211480,0
random,0,6,0.0587184,9374,208546,0
random,0,7,0.0681644,9123,201856,0
random,0,8,0.0775253,8942,198162,0
random,0,9,0.0868011,8858,195600,0
random,0,10,0.0959918,8675,191912,0
random,0,11,0.105097,8510,188210,0
random,0,12,0.114118,8371,182479,0
random,0,13,0.123053,8050,178024,0
random,0,14,0.131904,7911,174420,0
random,0,15,0.140669,7761,171152,0
random,0,16,0.149264,7578,167141,0
random,0,17,0.157774,7430,163725,0
random,0,18,0.166199,7273,159432,0
random,0,19,0.174538,7152,156310,0
random,0,20,0.182793,7001,152881,0
random,0,21,0.191048,6867,149340,0
random,0,22,0.199217,6736,146594,0
random,0,23,0.207302,6613,142848,0
random,0,24,0.215301,6495,138918,0
random,0,25,0.223215,6313,137592,0
random,0,26,0.231044,6165,134730,0
random,0,27,0.238788,6030,132660,0
random,0,28,0.246447,5873,129888,0
random,0,29,0.254021,5728,127890,0
random,0,30,0.26151,5636,125130,0
random,0,31,0.268913,5507,123165,0
random,0,32,0.276232,5405,120708,0
random,0,33,0.28355,5280,116584,0
random,0,34,0.290784,5150,114415,0
random,0,35,0.297932,4995,111135,0
random,0,36,0.304995,4921,109257,0
random,0,37,0.311973,4844,107865,0
random,0,38,0.318866,4749,106704,0
random,0,39,0.32576,4643,104412,0
random,0,40,0.332567,4589,103488,0
random,0,41,0.33929,4482,101004,1
random,0,42,0.345928,4380,98550,0
random,0,43,0.352481,4335,96768,0
random,0,44,0.359033,4225,93684,0
random,0,45,0.365501,4114,91960,0
random,0,46,0.371883,4040,91300,1
random,0,47,0.378181,3981,89790,0
random,0,48,0.384478,3880,88102,0
random,0,49,0.39069,3759,85648,0
random,0,50,0.396817,3671,84000,0
random,0,51,0.402859,3525,80958,0
random,0,52,0.408901,3448,79764,0
random,0,53,0.414858,3353,77988,0
random,0,54,0.42073,3257,75834,0
random,0,55,0.426602,3200,74088,0
random,0,56,0.432389,3150,73320,0
random,0,57,0.43809,3088,71780,0
random,0,58,0.443792,3011,70097,0
random,0,59,0.449409,2965,68970,0
random,0,60,0.45494,2910,68056,0
random,0,61,0.460471,2853,66216,0
random,0,62,0.465918,2806,64400,0
random,0,63,0.471279,2775,63848,0
random,0,64,0.47664,2712,63135,0
random,0,65,0.481916,2666,61902,0
random,0,66,0.487107,2636,60480,0
random,0,67,0.492299,2568,59096,0
random,0,68,0.497404,2509,58256,0
random,0,69,0.50251,2440,56259,0
random,1,0,0,10647,237405,
random,1,1,0.0100417,10444,234348,0
random,1,2,0.0199983,10282,230958,0
random,1,3,0.0298698,10036,224900,0
random,1,4,0.0395711,9871,220504,0
random,1,5,0.0491873,9649,217217,0
random,1,6,0.0587184,9502,212892,0
random,1,7,0.0681644,9370,208656,0
random,1,8,0.0775253,9251,204742,0
random,1,9,0.0868011,8976,198816,0
random,1,10,0.0959918,8864,195926,0
random,1,11,0.105097,8655,191539,0
random,1,12,0.114118,8492,189711,0
random,1,13,0.123053,8333,186396,0
random,1,14,0.131904,8184,182166,0
random,1,15,0.140669,8016,176832,0
random,1,16,0.149264,7726,173584,0
random,1,17,0.157774,7627,169234,0
random,1,18,0.166199,7516,165429,0
random,1,19,0.174538,7363,160271,0
random,1,20,0.182793,7260,159140,1
random,1,21,0.191048,7157,155771,0
random,1,22,0.199217,6917,150804,0
random,1,23,0.207302,6781,149178,0
random,1,24,0.215301,6582,145394,0
random,1,25,0.223215,6470,142968,0
random,1,26,0.231044,6335,139536,0
random,1,27,0.238788,6232,137970,0
random,1,28,0.246447,6080,133560,0
random,1,29,0.254021,5902,129241,0
random,1,30,0.26151,5705,125715,0
random,1,31,0.268913,5628,124460,0
random,1,32,0.276232,5536,122958,0
random,1,33,0.28355,5395,120267,1
random,1,34,0.290784,5305,117355,0
random,1,35,0.297932,5196,114696,0
random,1,36,0.304995,5113,112560,0
random,1,37,0.311973,4945,109976,0
random,1,38,0.318866,4859,107640,0
random,1,39,0.32576,4788,106714,0
random,1,40,0.332567,4719,105782,0
random,1,41,0.33929,4545,101923,1
random,1,42,0.345928,4480,100118,0
random,1,43,0.352481,4331,97236,0
random,1,44,0.359033,4224,93525,1
random,1,45,0.365501,4164,92665,1
random,1,46,0.371883,4098,91375,0
random,1,47,0.378181,3987,88828,0
random,1,48,0.384478,3817,84660,0
random,1,49,0.39069,3723,82416,0
random,1,50,0.396817,3645,78800,0
random,1,51,0.402859,3583,76824,0
random,1,52,0.408901,3506,75660,0
random,1,53,0.414858,3447,75272,0
random,1,54,0.42073,3359,73920,0
random,1,55,0.426602,3309,71820,0
random,1,56,0.432389,3219,70688,0
random,1,57,0.43809,3186,70312,0
random,1,58,0.443792,3138,68635,0
random,1,59,0.449409,3096,67712,0
random,1,60,0.45494,2986,65700,0
random,1,61,0.460471,2941,64800,0
random,1,62,0.465918,2902,63546,0
random,1,63,0.471279,2871,63368,0
