null_index,seed,strategy,trials,auc_flow,auc_reachability,intact_flow,intact_pairs
42,20360957,random,30,0.574473,0.585849,12387,237405
42,20360957,out_strength,1,0.203474,0.359323,12387,237405
42,20360957,in_strength,1,0.575059,0.62255,12387,237405
42,20360957,betweenness,1,0.339712,0.506,12387,237405
42,20360957,pagerank,1,0.588557,0.625519,12387,237405
42,20360957,sm_betweenness,1,0.331125,0.353768,12387,237405
43,20360958,random,30,0.57475,0.586227,12412,237405
43,20360958,out_strength,1,0.200156,0.353505,12412,237405
43,20360958,in_strength,1,0.604991,0.646628,12412,237405
43,20360958,betweenness,1,0.34202,0.496013,12412,237405
43,20360958,pagerank,1,0.591174,0.633506,12412,237405
43,20360958,sm_betweenness,1,0.359504,0.377027,12412,237405
44,20360959,random,30,0.57464,0.585489,12439,236741
44,20360959,out_strength,1,0.203974,0.355952,12439,236741
44,20360959,in_strength,1,0.595417,0.660858,12439,236741
44,20360959,betweenness,1,0.346202,0.502195,12439,236741
44,20360959,pagerank,1,0.602455,0.659016,12439,236741
44,20360959,sm_betweenness,1,0.352075,0.37391,12439,236741
45,20360960,random,30,0.574331,0.586277,12363,236740
45,20360960,out_strength,1,0.203063,0.354738,12363,236740
45,20360960,in_strength,1,0.596544,0.643998,12363,236740
45,20360960,betweenness,1,0.345975,0.512291,12363,236740
45,20360960,pagerank,1,0.596873,0.660239,12363,236740
45,20360960,sm_betweenness,1,0.360412,0.387204,12363,236740
46,20360961,random,30,0.575402,0.586251,12381,236740
46,20360961,out_strength,1,0.203376,0.352954,12381,236740
46,20360961,in_strength,1,0.601911,0.65198,12381,236740
46,20360961,betweenness,1,0.342395,0.494952,12381,236740
46,20360961,pagerank,1,0.589884,0.658202,12381,236740
46,20360961,sm_betweenness,1,0.360064,0.380756,12381,236740
47,20360962,random,30,0.574426,0.586007,12358,237405
47,20360962,out_strength,1,0.204658,0.361011,12358,237405
47,20360962,in_strength,1,0.600115,0.63442,12358,237405
47,20360962,betweenness,1,0.341618,0.497746,12358,237405
47,20360962,pagerank,1,0.593827,0.640979,12358,237405
47,20360962,sm_betweenness,1,0.337999,0.362497,12358,237405
48,20360963,random,30,0.575347,0.586022,12327,237405
48,20360963,out_strength,1,0.202026,0.357958,12327,237405
48,20360963,in_strength,1,0.599379,0.651577,12327,237405
48,20360963,betweenness,1,0.342006,0.491401,12327,237405
48,20360963,pagerank,1,0.582592,0.643311,12327,237405
48,20360963,sm_betweenness,1,0.354501,0.372963,12327,237405
49,20360964,random,30,0.574949,0.585334,12395,237405
49,20360964,out_strength,1,0.201162,0.354191,12395,237405
49,20360964,in_strength,1,0.581889,0.624514,12395,237405
49,20360964,betweenness,1,0.343228,0.499418,12395,237405
49,20360964,pagerank,1,0.588451,0.642058,12395,237405
49,20360964,sm_betweenness,1,0.344813,0.380794,12395,237405
50,20360965,random,30,0.575673,0.586182,12409,236741
50,20360965,out_strength,1,0.201286,0.35905,12409,236741
50,20360965,in_strength,1,0.589517,0.64844,12409,236741
50,20360965,betweenness,1,0.351908,0.503594,12409,236741
50,20360965,pagerank,1,0.594022,0.64333,12409,236741
50,20360965,sm_betweenness,1,0.344712,0.359643,12409,236741
